,Time,RPM,ACCx,ACCy,ACCz
0,56597.0,6000.0,0.31,-1.02,1.0
1,56700.0,6000.0,0.27,-1.02,1.0
2,56806.0,6000.0,0.27,-1.02,0.9956427015250545
3,56908.0,6000.0,0.43,-1.22,1.0174291938997821
4,57011.0,6000.0,-0.08,0.55,0.89760348583878
5,57113.0,6000.0,0.08,-1.61,0.9444444444444444
6,57216.0,6000.0,0.43,-1.49,1.0294117647058822
7,57318.0,6000.0,0.51,-1.06,1.0087145969498912
8,57420.0,6000.0,0.47,-1.14,1.0174291938997821
9,57487.0,6000.0,0.35,-1.1,1.0174291938997821
10,57487.0,3.0,0.35,-1.1,1.0174291938997821
11,57487.0,11.0,0.35,-1.1,1.0174291938997821
12,57487.0,22.0,0.35,-1.1,1.0174291938997821
13,57487.0,38.0,0.35,-1.1,1.0174291938997821
14,57487.0,50.0,0.35,-1.1,1.0174291938997821
15,57487.0,56.0,0.35,-1.1,1.0174291938997821
16,57487.0,61.0,0.35,-1.1,1.0174291938997821
17,57487.0,65.0,0.35,-1.1,1.0174291938997821
18,57487.0,67.0,0.35,-1.1,1.0174291938997821
19,57487.0,68.0,0.35,-1.1,1.0174291938997821
20,57487.0,69.0,0.35,-1.1,1.0174291938997821
21,57487.0,72.0,0.35,-1.1,1.0174291938997821
22,57487.0,72.0,0.35,-1.1,1.0174291938997821
23,57487.0,72.0,0.35,-1.1,1.0174291938997821
24,57488.0,73.0,0.35,-1.1,1.0174291938997821
25,57488.0,72.0,0.35,-1.1,1.0174291938997821
26,57488.0,74.0,0.35,-1.1,1.0174291938997821
27,57488.0,74.0,0.35,-1.1,1.0174291938997821
28,57488.0,74.0,0.35,-1.1,1.0174291938997821
29,57523.0,77.0,0.35,-1.1,1.0174291938997821
30,57629.0,77.0,0.47,-1.1,1.0043572984749456
31,57732.0,77.0,0.2,-0.94,0.9869281045751634
32,57834.0,77.0,0.2,-0.9,0.9956427015250545
33,57936.0,77.0,0.35,-1.1,1.0043572984749456
34,58039.0,77.0,0.16,-1.14,1.0
35,58142.0,77.0,0.31,-0.94,0.9912854030501089
36,58244.0,77.0,0.47,-0.94,1.0087145969498912
37,58350.0,77.0,0.39,-0.98,1.0087145969498912
38,58453.0,77.0,0.47,-1.02,1.0043572984749456
39,58495.0,77.0,0.27,-1.1,1.0043572984749456
40,58495.0,79.0,0.27,-1.1,1.0043572984749456
41,58495.0,82.0,0.27,-1.1,1.0043572984749456
42,58495.0,84.0,0.27,-1.1,1.0043572984749456
43,58495.0,85.0,0.27,-1.1,1.0043572984749456
44,58495.0,87.0,0.27,-1.1,1.0043572984749456
45,58495.0,89.0,0.27,-1.1,1.0043572984749456
46,58495.0,90.0,0.27,-1.1,1.0043572984749456
47,58495.0,90.0,0.27,-1.1,1.0043572984749456
48,58495.0,89.0,0.27,-1.1,1.0043572984749456
49,58495.0,89.0,0.27,-1.1,1.0043572984749456
50,58495.0,89.0,0.27,-1.1,1.0043572984749456
51,58495.0,89.0,0.27,-1.1,1.0043572984749456
52,58495.0,89.0,0.27,-1.1,1.0043572984749456
53,58495.0,88.0,0.27,-1.1,1.0043572984749456
54,58495.0,88.0,0.27,-1.1,1.0043572984749456
55,58495.0,88.0,0.27,-1.1,1.0043572984749456
56,58495.0,88.0,0.27,-1.1,1.0043572984749456
57,58496.0,87.0,0.27,-1.1,1.0043572984749456
58,58496.0,76.0,0.27,-1.1,1.0043572984749456
59,58555.0,86.0,0.27,-1.1,1.0043572984749456
60,58657.0,86.0,0.2,-0.9,0.9869281045751634
61,58760.0,86.0,0.35,-1.14,1.0130718954248368
62,58862.0,86.0,0.27,-0.94,1.0174291938997821
63,58965.0,86.0,0.2,-0.94,0.9912854030501089
64,59067.0,86.0,0.39,-1.02,1.0043572984749456
65,59173.0,86.0,0.27,-0.94,0.9869281045751634
66,59276.0,86.0,0.31,-1.06,1.0087145969498912
67,59378.0,86.0,0.27,-0.86,0.9912854030501089
68,59481.0,86.0,0.35,-1.02,1.0043572984749456
69,59487.0,86.0,0.43,-1.1,1.0217864923747277
70,59487.0,86.0,0.43,-1.1,1.0217864923747277
71,59488.0,84.0,0.43,-1.1,1.0217864923747277
72,59488.0,83.0,0.43,-1.1,1.0217864923747277
73,59488.0,82.0,0.43,-1.1,1.0217864923747277
74,59488.0,80.0,0.43,-1.1,1.0217864923747277
75,59488.0,80.0,0.43,-1.1,1.0217864923747277
76,59488.0,80.0,0.43,-1.1,1.0217864923747277
77,59488.0,78.0,0.43,-1.1,1.0217864923747277
78,59488.0,79.0,0.43,-1.1,1.0217864923747277
79,59488.0,79.0,0.43,-1.1,1.0217864923747277
80,59488.0,79.0,0.43,-1.1,1.0217864923747277
81,59488.0,80.0,0.43,-1.1,1.0217864923747277
82,59488.0,81.0,0.43,-1.1,1.0217864923747277
83,59488.0,80.0,0.43,-1.1,1.0217864923747277
84,59488.0,80.0,0.43,-1.1,1.0217864923747277
85,59488.0,80.0,0.43,-1.1,1.0217864923747277
86,59489.0,78.0,0.43,-1.1,1.0217864923747277
87,59489.0,78.0,0.43,-1.1,1.0217864923747277
88,59489.0,87.0,0.43,-1.1,1.0217864923747277
89,59583.0,78.0,0.43,-1.1,1.0217864923747277
90,59686.0,78.0,0.35,-0.9,0.9912854030501089
91,59788.0,78.0,0.35,-1.14,1.0087145969498912
92,59894.0,78.0,0.2,-0.94,0.9912854030501089
93,59997.0,78.0,0.43,-1.1,0.9956427015250545
94,60099.0,78.0,0.24,-1.02,1.0043572984749456
95,60201.0,78.0,0.59,-1.14,1.0174291938997821
96,60304.0,78.0,0.16,-0.86,0.9912854030501089
97,60406.0,78.0,0.39,-1.06,1.0
98,60480.0,78.0,0.51,-0.98,1.0043572984749456
99,60480.0,77.0,0.51,-0.98,1.0043572984749456
100,60480.0,78.0,0.51,-0.98,1.0043572984749456
101,60480.0,79.0,0.51,-0.98,1.0043572984749456
102,60480.0,79.0,0.51,-0.98,1.0043572984749456
103,60480.0,80.0,0.51,-0.98,1.0043572984749456
104,60480.0,81.0,0.51,-0.98,1.0043572984749456
105,60480.0,81.0,0.51,-0.98,1.0043572984749456
106,60480.0,82.0,0.51,-0.98,1.0043572984749456
107,60480.0,81.0,0.51,-0.98,1.0043572984749456
108,60480.0,82.0,0.51,-0.98,1.0043572984749456
109,60480.0,82.0,0.51,-0.98,1.0043572984749456
110,60480.0,83.0,0.51,-0.98,1.0043572984749456
111,60480.0,82.0,0.51,-0.98,1.0043572984749456
112,60481.0,82.0,0.51,-0.98,1.0043572984749456
113,60481.0,82.0,0.51,-0.98,1.0043572984749456
114,60481.0,82.0,0.51,-0.98,1.0043572984749456
115,60481.0,82.0,0.51,-0.98,1.0043572984749456
116,60481.0,83.0,0.51,-0.98,1.0043572984749456
117,60481.0,78.0,0.51,-0.98,1.0043572984749456
118,60509.0,84.0,0.51,-0.98,1.0043572984749456
119,60611.0,84.0,0.31,-1.1,1.0087145969498912
120,60718.0,84.0,0.24,-1.18,1.0174291938997821
121,60820.0,84.0,0.24,-1.18,1.0130718954248368
122,60922.0,84.0,0.31,-0.94,1.0
123,61025.0,84.0,0.35,-0.98,0.9912854030501089
124,61127.0,84.0,0.27,-0.94,1.0
125,61230.0,84.0,0.43,-0.9,0.9956427015250545
126,61332.0,84.0,0.35,-0.94,0.9956427015250545
127,61438.0,84.0,0.24,-0.94,0.9869281045751634
128,61473.0,84.0,0.27,-0.98,0.9956427015250545
129,61473.0,86.0,0.27,-0.98,0.9956427015250545
130,61473.0,86.0,0.27,-0.98,0.9956427015250545
131,61473.0,87.0,0.27,-0.98,0.9956427015250545
132,61473.0,87.0,0.27,-0.98,0.9956427015250545
133,61473.0,87.0,0.27,-0.98,0.9956427015250545
134,61473.0,87.0,0.27,-0.98,0.9956427015250545
135,61473.0,87.0,0.27,-0.98,0.9956427015250545
136,61473.0,86.0,0.27,-0.98,0.9956427015250545
137,61473.0,86.0,0.27,-0.98,0.9956427015250545
138,61473.0,86.0,0.27,-0.98,0.9956427015250545
139,61473.0,87.0,0.27,-0.98,0.9956427015250545
140,61473.0,87.0,0.27,-0.98,0.9956427015250545
141,61473.0,88.0,0.27,-0.98,0.9956427015250545
142,61473.0,88.0,0.27,-0.98,0.9956427015250545
143,61473.0,88.0,0.27,-0.98,0.9956427015250545
144,61473.0,89.0,0.27,-0.98,0.9956427015250545
145,61473.0,89.0,0.27,-0.98,0.9956427015250545
146,61474.0,90.0,0.27,-0.98,0.9956427015250545
147,61474.0,83.0,0.27,-0.98,0.9956427015250545
148,61541.0,90.0,0.27,-0.98,0.9956427015250545
149,61643.0,90.0,0.24,-1.06,0.9956427015250545
150,61746.0,90.0,0.31,-1.1,1.0130718954248368
151,61848.0,90.0,0.43,-0.94,1.0174291938997821
152,61950.0,90.0,0.27,-1.06,0.9956427015250545
153,62053.0,90.0,0.31,-0.98,0.9956427015250545
154,62155.0,90.0,0.31,-0.98,1.0
155,62262.0,90.0,0.35,-1.02,0.9956427015250545
156,62364.0,90.0,0.35,-1.06,1.0087145969498912
157,62466.0,90.0,0.31,-1.06,1.0087145969498912
158,62481.0,90.0,0.31,-0.98,1.0043572984749456
159,62482.0,90.0,0.31,-0.98,1.0043572984749456
160,62482.0,89.0,0.31,-0.98,1.0043572984749456
161,62482.0,89.0,0.31,-0.98,1.0043572984749456
162,62482.0,89.0,0.31,-0.98,1.0043572984749456
163,62482.0,89.0,0.31,-0.98,1.0043572984749456
164,62482.0,89.0,0.31,-0.98,1.0043572984749456
165,62482.0,89.0,0.31,-0.98,1.0043572984749456
166,62482.0,90.0,0.31,-0.98,1.0043572984749456
167,62482.0,91.0,0.31,-0.98,1.0043572984749456
168,62482.0,92.0,0.31,-0.98,1.0043572984749456
169,62482.0,92.0,0.31,-0.98,1.0043572984749456
170,62482.0,93.0,0.31,-0.98,1.0043572984749456
171,62482.0,92.0,0.31,-0.98,1.0043572984749456
172,62482.0,92.0,0.31,-0.98,1.0043572984749456
173,62482.0,90.0,0.31,-0.98,1.0043572984749456
174,62482.0,91.0,0.31,-0.98,1.0043572984749456
175,62482.0,91.0,0.31,-0.98,1.0043572984749456
176,62482.0,91.0,0.31,-0.98,1.0043572984749456
177,62482.0,90.0,0.31,-0.98,1.0043572984749456
178,62569.0,92.0,0.31,-0.98,1.0043572984749456
179,62671.0,92.0,0.31,-1.02,1.0
180,62774.0,92.0,0.24,-1.06,1.0
181,62876.0,92.0,0.31,-1.1,1.0087145969498912
182,62982.0,92.0,0.39,-1.06,1.0130718954248368
183,63085.0,92.0,0.31,-1.06,1.0
184,63187.0,92.0,0.31,-0.94,0.9912854030501089
185,63290.0,92.0,0.27,-1.1,1.0087145969498912
186,63392.0,92.0,0.27,-1.06,1.0043572984749456
187,63474.0,92.0,0.27,-0.98,1.0043572984749456
188,63474.0,92.0,0.27,-0.98,1.0043572984749456
189,63474.0,93.0,0.27,-0.98,1.0043572984749456
190,63474.0,94.0,0.27,-0.98,1.0043572984749456
191,63474.0,95.0,0.27,-0.98,1.0043572984749456
192,63474.0,94.0,0.27,-0.98,1.0043572984749456
193,63474.0,95.0,0.27,-0.98,1.0043572984749456
194,63474.0,95.0,0.27,-0.98,1.0043572984749456
195,63474.0,94.0,0.27,-0.98,1.0043572984749456
196,63474.0,94.0,0.27,-0.98,1.0043572984749456
197,63475.0,94.0,0.27,-0.98,1.0043572984749456
198,63475.0,94.0,0.27,-0.98,1.0043572984749456
199,63475.0,94.0,0.27,-0.98,1.0043572984749456
200,63475.0,95.0,0.27,-0.98,1.0043572984749456
201,63475.0,96.0,0.27,-0.98,1.0043572984749456
202,63475.0,97.0,0.27,-0.98,1.0043572984749456
203,63475.0,97.0,0.27,-0.98,1.0043572984749456
204,63475.0,99.0,0.27,-0.98,1.0043572984749456
205,63475.0,99.0,0.27,-0.98,1.0043572984749456
206,63475.0,91.0,0.27,-0.98,1.0043572984749456
207,63494.0,98.0,0.27,-0.98,1.0043572984749456
208,63597.0,98.0,0.43,-1.06,1.0043572984749456
209,63699.0,98.0,0.31,-1.02,1.0043572984749456
210,63806.0,98.0,0.35,-1.02,1.0043572984749456
211,63908.0,98.0,0.27,-0.94,0.9912854030501089
212,64010.0,98.0,0.35,-1.06,1.0130718954248368
213,64113.0,98.0,0.24,-0.94,1.0
214,64215.0,98.0,0.31,-1.02,1.0043572984749456
215,64318.0,98.0,0.35,-1.02,1.0043572984749456
216,64420.0,98.0,0.35,-1.02,1.0043572984749456
217,64467.0,98.0,0.27,-0.98,0.9956427015250545
218,64467.0,97.0,0.27,-0.98,0.9956427015250545
219,64467.0,97.0,0.27,-0.98,0.9956427015250545
220,64467.0,96.0,0.27,-0.98,0.9956427015250545
221,64467.0,97.0,0.27,-0.98,0.9956427015250545
222,64467.0,97.0,0.27,-0.98,0.9956427015250545
223,64467.0,98.0,0.27,-0.98,0.9956427015250545
224,64467.0,99.0,0.27,-0.98,0.9956427015250545
225,64467.0,99.0,0.27,-0.98,0.9956427015250545
226,64467.0,100.0,0.27,-0.98,0.9956427015250545
227,64467.0,100.0,0.27,-0.98,0.9956427015250545
228,64467.0,100.0,0.27,-0.98,0.9956427015250545
229,64467.0,100.0,0.27,-0.98,0.9956427015250545
230,64467.0,99.0,0.27,-0.98,0.9956427015250545
231,64467.0,98.0,0.27,-0.98,0.9956427015250545
232,64467.0,98.0,0.27,-0.98,0.9956427015250545
233,64467.0,98.0,0.27,-0.98,0.9956427015250545
234,64467.0,99.0,0.27,-0.98,0.9956427015250545
235,64467.0,100.0,0.27,-0.98,0.9956427015250545
236,64467.0,98.0,0.27,-0.98,0.9956427015250545
